2018-19  Graduates Attending Institutions of Higher Education (District) - All Students - All Colleges and Universities,,,,,,,,,,,
District Name,District Code,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%)
Mansfield,01670000,321,279,86.9,0,36.6,9.3,54.1,9.3,14,20.8
Map Academy Charter School (District),35170000,8,,,,,,,,,
Marblehead,01680000,262,231,88.2,0,49.8,6.1,44.2,5.6,5.6,9.1
Marlborough,01700000,284,163,57.4,0,34.4,20.9,44.8,20.9,14.1,19.6
Marshfield,01710000,334,280,83.8,0.4,41.4,9.3,48.9,8.9,14.6,18.6
Martha's Vineyard,07000000,145,97,66.9,0,57.7,11.3,30.9,9.3,7.2,8.2
Martha's Vineyard Charter (District),04660000,7,,,,,,,,,
Masconomet,07050000,268,241,89.9,0,51,9.5,39.4,9.5,2.9,14.5
Mashpee,01720000,105,81,77.1,0,21,22.2,56.8,22.2,13.6,24.7
Maynard,01740000,91,76,83.5,0,32.9,21.1,46.1,21.1,13.2,13.2
Medfield,01750000,189,169,89.4,0,56.2,3,40.8,2.4,4.7,13.6
Medford,01760000,341,235,68.9,0,26.8,30.6,42.6,30.6,9.4,26.4
Medway,01770000,179,162,90.5,0,42.6,4.3,53.1,3.7,11.1,22.8
Melrose,01780000,256,231,90.2,0,43.3,12.1,44.6,12.1,8.7,18.6
Mendon-Upton,07100000,156,134,85.9,0,54.5,5.2,40.3,5.2,11.9,16.4
Methuen,01810000,482,329,68.3,0,28,35.9,36.2,35.6,10.9,20.1
Middleborough,01820000,171,114,66.7,0,22.8,21.1,56.1,21.1,29.8,12.3
Milford,01850000,262,179,68.3,0,27.9,15.6,56.4,15.6,23.5,21.2
Millbury,01860000,102,65,63.7,0,30.8,18.5,50.8,18.5,26.2,18.5
Millis,01870000,96,83,86.5,0,51.8,6,42.2,6,13.3,13.3
Milton,01890000,240,211,87.9,0,49.3,9,41.7,7.1,8.5,20.9
Minuteman Regional Vocational Technical,08300000,115,67,58.3,0,41.8,25.4,32.8,23.9,9,16.4
Mohawk Trail,07170000,60,45,75,0,24.4,46.7,28.9,44.4,8.9,15.6
Monomoy Regional School District,07120000,113,92,81.4,0,34.8,29.3,35.9,27.2,9.8,12
Monson,01910000,67,54,80.6,0,42.6,44.4,13,44.4,5.6,1.9
Montachusett Regional Vocational Technical,08320000,313,169,54,0,21.9,37.3,40.8,36.7,27.8,10.7
Mount Greylock,07150000,84,70,83.3,0,67.1,5.7,27.1,4.3,4.3,10
Mystic Valley Regional Charter (District),04700000,88,82,93.2,0,34.1,3.7,62.2,3.7,9.8,40.2
Nantucket,01970000,129,90,69.8,0,51.1,8.9,40,8.9,11.1,7.8
