2018-19 Advanced Placement Performance - All Subjects - All Students,,,,,,,,,
District Name,District Code,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,% Score 1-2,% Score 3-5
Northern Berkshire Regional Vocational Technical,08510000,      44,      17,      20,       6,       1,       0,  84.1,  15.9
Norton,02180000,     343,      19,      73,     109,      94,      48,  26.8,  73.2
Norwell,02190000,     486,      47,      90,     142,     129,      78,  28.2,  71.8
Norwood,02200000,     206,      10,      54,      80,      42,      20,  31.1,  68.9
Old Colony Regional Vocational Technical,08550000,       5,,,,,,,
Old Rochester,07400000,     440,      45,     100,     168,      89,      38,  33.0,  67.0
Oxford,02260000,     145,      35,      39,      40,      19,      12,  51.0,  49.0
Palmer,02270000,      86,      26,      17,      23,      13,       7,  50.0,  50.0
Pathfinder Regional Vocational Technical,08600000,      44,      27,      13,       4,       0,       0,  90.9,   9.1
Paulo Freire Social Justice Charter School (District),35010000,      12,      11,       1,       0,       0,       0, 100.0,    .0
Peabody,02290000,     424,      44,     121,     125,     105,      29,  38.9,  61.1
Pembroke,02310000,     339,      30,      78,      97,      89,      45,  31.9,  68.1
Pentucket,07450000,     334,      12,      51,     130,      94,      47,  18.9,  81.1
Phoenix Charter Academy (District),04930000,       1,,,,,,,
Pioneer Charter School of Science (District),04940000,     139,       8,      35,      56,      26,      14,  30.9,  69.1
Pioneer Charter School of Science II (PCSS-II) (District),35060000,     157,      23,      26,      50,      39,      19,  31.2,  68.8
Pioneer Valley,07500000,      70,      12,      18,      28,      10,       2,  42.9,  57.1
Pioneer Valley Performing Arts Charter Public (District),04790000,       6,,,,,,,
Pittsfield,02360000,     592,     118,     199,     174,      64,      37,  53.5,  46.5
Plymouth,02390000,"   1,099",     206,     327,     310,     180,      76,  48.5,  51.5
Prospect Hill Academy Charter (District),04870000,     209,      46,      81,      55,      17,      10,  60.8,  39.2
Quabbin,07530000,     157,      50,      47,      39,      18,       3,  61.8,  38.2
Quaboag Regional,07780000,     207,      30,      51,      61,      42,      23,  39.1,  60.9
Quincy,02430000,     855,      94,     167,     222,     213,     159,  30.5,  69.5
Ralph C Mahar,07550000,      53,       5,      18,      17,       9,       4,  43.4,  56.6
Randolph,02440000,     208,      42,      58,      57,      29,      22,  48.1,  51.9
Reading,02460000,     504,      12,      76,     158,     157,     101,  17.5,  82.5
Revere,02480000,     480,      83,     105,     126,      87,      79,  39.2,  60.8
Rising Tide Charter Public (District),04830000,      26,       4,      12,       7,       2,       1,  61.5,  38.5
Rockland,02510000,     263,      41,      89,      86,      41,       6,  49.4,  50.6
Rockport,02520000,     122,      16,      37,      43,      17,       9,  43.4,  56.6
Roxbury Preparatory Charter (District),04840000,     720,     353,     202,     126,      34,       5,  77.1,  22.9
Sabis International Charter (District),04410000,     168,      42,      74,      35,       9,       8,  69.0,  31.0
Salem,02580000,     335,     107,      94,      68,      54,      12,  60.0,  40.0
Salem Academy Charter (District),04850000,     184,      57,      64,      40,      17,       6,  65.8,  34.2
Sandwich,02610000,     305,      44,      82,      86,      54,      39,  41.3,  58.7
Saugus,02620000,     304,     127,      77,      61,      33,       6,  67.1,  32.9
Scituate,02640000,     545,      32,     150,     153,     128,      82,  33.4,  66.6
Seekonk,02650000,     330,      90,      59,      90,      58,      33,  45.2,  54.8
Sharon,02660000,     727,       3,      29,     114,     241,     340,   4.4,  95.6
Shrewsbury,02710000,     880,      28,      56,     161,     307,     328,   9.5,  90.5
Silver Lake,07600000,     562,      36,     112,     176,     153,      85,  26.3,  73.7
Sizer School: A North Central Charter Essential (District),04740000,      27,       9,       4,       7,       4,       3,  48.1,  51.9
Somerset Berkley Regional School District,07630000,     403,      26,      92,     108,     113,      64,  29.3,  70.7
Somerville,02740000,     609,      83,     150,     151,     124,     101,  38.3,  61.7
South Hadley,02780000,     235,       3,      35,      60,      66,      71,  16.2,  83.8
South Middlesex Regional Vocational Technical,08290000,      93,      30,      28,      22,       9,       4,  62.4,  37.6
South Shore Charter Public (District),04880000,      92,      24,      34,      22,      10,       2,  63.0,  37.0
Southbridge,02770000,     101,      52,      30,      14,       3,       2,  81.2,  18.8
Southeastern Regional Vocational Technical,08720000,     237,      77,      88,      55,      12,       5,  69.6,  30.4
